Month,"Downstream Strontia, 15","Downstream Strontia, 50","Downstream Strontia, 85","Downstream Strontia, BR (low)","Downstream Strontia, BR (high)","Downstream Strontia, 2020","Downstream Strontia, 2021","Downstream Strontia, 2022","Upstream Strontia, 15","Upstream Strontia, 50","Upstream Strontia, 85","Upstream Strontia, BR (low)","Upstream Strontia, BR (high)","Upstream Strontia, 2020","Upstream Strontia, 2021","Upstream Strontia, 2022","Roberts Tun, 15","Roberts Tun, 50","Roberts Tun, 85","Robert Tun, BR (low)","Roberts Tun, BR (high)","SP Below Chatfield, 15","SP Below Chatfield, 50","SP Below Chatfield, 85","SP Below Chatfield, BR (low) ","SP Below Chatfield, BR (high) ","SP Below Chatfield, 2020","SP Below Chatfield, 2021","SP Below Chatfield, 2022","MS Above Conf, 15","MS Above Conf, 50","MS Above Conf, 85","MS Above Conf, BR (low)","MS Above Conf, BR (high)","MS Above Conf, 2020","MS Above Conf, 2021","MS Above Conf, 2022","Nfork above Conf, 15","Nfork above Conf, 50","Nfork above Conf, 85","Nfork above Conf, BR (low)","Nfork above Conf, BR (high)","Nfork above Conf, 2020","Nfork above Conf, 2021","Nfork above Conf, 2022"
1,0.007,0.004,0.0048,0.003,0.0118,0,0,0.027,0.007,0.004,0.02,0.003,0.027,0,0,0.02,-0.01,0.01,0,0,0,0.015,0.002,0.0328,0.013,0.0478,0.017,0.021,0.039,0.025,0.01,0,0.035,0.035,0,0,0,0.021,0.01,0,0.031,0.031,0,0,0.04
2,-0.01,0.01,0.0106,0,0.0106,0.01,0,0,0.009,0.0028,0.0046,0.0062,0.0136,0.011,0,0.025,-0.01,0.01,0,0,0,0.012,0.0004,0.0026,0.0116,0.0146,0.016,0.018,0.052,0.008,0.0024,0.0054,0.0056,0.0134,0.013,0.022,0.037,0.006,0.006,0.008,0,0.014,0,0.045,0.032
3,0.004,0.004,0.00565,0,0.00965,0.034,0,0.012,0.013,0.00375,0.00265,0.00925,0.01565,0.013,0,0.012,-0.01,0.01,0,0,0,0.0115,0.0005,0.00105,0.011,0.01255,0.023,0.015,0.017,0.0125,0.0026,0.01085,0.0099,0.02335,0.014,0,0.018,0.006,0.006,0.00985,0,0.01585,0.013,0,0.011
4,0.007,0.007,0.0098,0,0.0168,0,0.017,0,0.018,0.0108,0.00365,0.0072,0.02165,0.016,0.019,0.013,,,,0,0,0.012,0.0002,0.0051,0.0118,0.0171,0.073,0.016,0.028,0.023,0.009,0.0044,0.014,0.0274,0.017,0.017,0.012,0.0145,0.01,0.00505,0,0.01955,0.016,0.017,0.011
5,0.012,0.0116,0.01455,0.00039,0.02655,0.014,0.018,0.011,0.02,0.02,0.0336,0,0.0536,0.014,0.018,0.014,-0.01,0.01,0,0,0,0.015,0.0018,0.0234,0.0132,0.0384,0.012,0.019,0.015,0.013,0.013,0.02575,0,0.03875,0.014,0.016,0.013,0.0195,0.0195,0.02015,0,0.03965,0.014,0.017,0.018
6,0.0175,0.0062,0.00945,0.0113,0.02695,0.014,0.01,#N/A,0.035,0.0181,0.0097,0.0169,0.0447,0.019,0.017,#N/A,0.013,0.0091,0.0091,0.0039,0.0221,0.024,0.01,0.01075,0.014,0.03475,0.014,0.012,#N/A,0.0175,0.00415,0.0047,0.01335,0.0222,0.019,0.016,#N/A,0.038,0.01515,0.01735,0,0.05535,0.018,0.018,#N/A
7,0.025,0.0166,0.0056,0.0084,0.0306,0.018,0.018,#N/A,0.017,0.0068,0.0122,0.0102,0.0292,0,0.017,#N/A,-0.01,0.01,0.0033,0,0.0033,0.022,0.004,0.0418,0.018,0.0638,0.045,0.154,#N/A,0.025,0.0162,0.0034,0.0088,0.0284,0.01,0.02,#N/A,0.017,0.0076,0.0134,0,0.0304,0.011,0.02,#N/A
8,0.0145,0.00945,0.00445,0.00505,0.01895,0.017,0.013,#N/A,0.014,0.007,0.0126,0.007,0.0266,0.014,0.012,#N/A,-0.01,0.01,0,0,0,0.029,0.001,0.0048,0.028,0.0338,0.025,0.028,#N/A,0.024,0.0114,0.0054,0.0126,0.0294,0.018,0.012,#N/A,0.022,0.013,0.1056,0,0.1276,0,0.014,#N/A
9,0.011,0.011,0.0028,0,0.0138,0.026,0,#N/A,0.018,0.0048,0.0072,0.0132,0.0252,0.032,0.014,#N/A,-0.01,0.01,0,0,0,0.022,0.0062,0.0238,0.0158,0.0458,#N/A,0.016,#N/A,0.02,0.0032,0.0094,0.0168,0.0294,0.036,0.021,#N/A,-0.01,0.01,0.2932,0,0.2932,0,0.011,#N/A
10,0.019,0.0056,0.0082,0.0134,0.0272,0.015,0.012,#N/A,0.016,0.016,0.01,0,0.026,0,0.012,#N/A,0.008,0.01,0,0.018,0.018,0.0225,0.00755,0.0345,0.01495,0.057,0.019,0.025,#N/A,0.018,0.0058,0.0228,0.0122,0.0408,0,0.016,#N/A,0.007,0.007,0.0056,0,0.0126,0,0.013,#N/A
11,0.008,0.008,0.1058,0,0.1138,0.01,0.01,#N/A,0.007,0.007,0.0084,0,0.0154,0,0.011,#N/A,0.013,0.0091,0.0091,0.0039,0.0221,0.016,0.0035,0.0007,0.0125,0.0167,#N/A,0.023,#N/A,0.022,0.01,0,0.032,0.032,0,0.014,#N/A,0.012,0.01,0,0,0.022,0,0.012,#N/A
12,0.006,0.006,0.0092,0,0.0152,0,0.012,#N/A,0.006,0.006,0.0348,0,0.0408,0,0.019,#N/A,0.005,0.01,0,0.015,0.015,0.014,0.006,0.01,0.008,0.024,0.02,0.023,#N/A,0.006,0.006,0.0056,0,0.0116,0,0.02,#N/A,-0.01,0.01,0,0,0,0,0,#N/A
